2018-09-11T09:32:52Z, 58, NTP, Adjust, -5
2018-09-11T09:45:50Z, 58, NWL, Measmt, 69
2018-09-11T09:46:00Z, 58, NWL, Adjust, 68
2018-09-11T14:23:06Z, 58, NTP, Adjust, -5
2018-09-11T18:56:09Z, 59, NTP, Adjust, -5
2018-09-11T23:12:06Z, 59, NTP, Adjust, -15
2018-09-12T03:45:11Z, 59, NTP, Adjust, -15
2018-09-12T08:18:10Z, 58, NTP, Adjust, -5
2018-09-12T12:51:14Z, 58, NTP, Adjust, -5
2018-09-12T17:41:30Z, 59, NTP, Adjust, -5
2018-09-12T21:57:25Z, 59, NTP, Adjust, 5
2018-09-13T02:30:31Z, 59, NTP, Adjust, 5
2018-09-13T11:36:43Z, 58, NTP, Adjust, 10
2018-09-13T16:31:26Z, 59, NTP, Adjust, 5
2018-09-14T01:15:53Z, 59, NTP, Adjust, -5
2018-09-14T05:49:01Z, 59, NTP, Adjust, -15
2018-09-14T10:22:00Z, 58, NTP, Adjust, -5
2018-09-14T15:16:47Z, 58, NTP, Adjust, 5
2018-09-15T00:01:09Z, 58, NTP, Adjust, 5
2018-09-15T09:07:18Z, 58, NTP, Adjust, -5
2018-09-15T13:40:21Z, 58, NTP, Adjust, 5
2018-09-15T18:13:27Z, 59, NTP, Adjust, 5
2018-09-15T23:07:58Z, 59, NTP, Adjust, -5
2018-09-16T03:19:38Z, 59, NTP, Adjust, 5
2018-09-16T07:52:41Z, 58, NTP, Adjust, -5
2018-09-16T12:25:47Z, 58, NTP, Adjust, -5
2018-09-16T16:58:50Z, 59, NTP, Adjust, 5
2018-09-16T21:49:08Z, 60, NTP, Adjust, 5
2018-09-17T02:05:01Z, 59, NTP, Adjust, -5
2018-09-17T06:38:05Z, 58, NTP, Adjust, 5
2018-09-17T11:11:09Z, 58, NTP, Adjust, 5
2018-09-17T15:44:12Z, 58, NTP, Adjust, -5
2018-09-17T20:17:15Z, 59, NTP, Adjust, -5
2018-09-18T01:12:04Z, 59, NTP, Adjust, 5
2018-09-18T05:23:23Z, 58, NTP, Adjust, 5
2018-09-18T09:56:27Z, 58, NTP, Adjust, -5
2018-09-18T14:29:32Z, 58, NTP, Adjust, -5
2018-09-18T19:24:26Z, 59, NTP, Adjust, 10
2018-09-19T04:08:44Z, 59, NTP, Adjust, -5
2018-09-19T09:03:37Z, 59, NTP, Adjust, -5
2018-09-19T13:14:53Z, 58, NTP, Adjust, -5
2018-09-19T17:47:56Z, 59, NTP, Adjust, -5
2018-09-19T22:42:57Z, 60, NTP, Adjust, 15
2018-09-20T07:27:14Z, 59, NTP, Adjust, -5
2018-09-20T12:22:08Z, 59, NTP, Adjust, 5
2018-09-20T21:06:29Z, 58, NTP, Adjust, -5
2018-09-21T02:01:19Z, 59, NTP, Adjust, 5
2018-09-21T15:18:44Z, 58, NTP, Adjust, -5
2018-09-21T19:51:50Z, 58, NTP, Adjust, -5
2018-09-22T00:24:56Z, 58, NTP, Adjust, 5
2018-09-22T04:58:01Z, 59, NTP, Adjust, 10
2018-09-22T09:31:04Z, 58, NTP, Adjust, -5
2018-09-22T14:04:09Z, 59, NTP, Adjust, 5
2018-09-22T18:37:12Z, 59, NTP, Adjust, -5
2018-09-22T23:32:05Z, 58, NTP, Adjust, 5
2018-09-23T04:05:13Z, 58, NTP, Adjust, 10
2018-09-23T12:49:28Z, 58, NTP, Adjust, 5
2018-09-23T13:11:30Z, 58, NTP, Adjust, -25
2018-09-23T17:44:30Z, 58, NTP, Adjust, -10
2018-09-23T22:17:33Z, 58, NTP, Adjust, -5
2018-09-24T07:01:42Z, 58, NTP, Adjust, 5
2018-09-24T11:56:54Z, 58, NTP, Adjust, 25
2018-09-24T20:40:58Z, 58, NTP, Adjust, 5
2018-09-25T01:14:09Z, 58, NTP, Adjust, -20
2018-09-25T06:09:05Z, 58, NTP, Adjust, -10
2018-09-25T06:19:31Z, 59, NWL, Measmt, 65
2018-09-25T06:19:41Z, 59, NWL, Adjust, 62
2018-09-25T10:20:15Z, 58, NTP, Adjust, -15
2018-09-25T14:53:14Z, 58, NTP, Adjust, -5
2018-09-25T19:43:34Z, 59, NTP, Adjust, -10
2018-09-25T23:59:26Z, 59, NTP, Adjust, -10
2018-09-26T04:32:29Z, 59, NTP, Adjust, -10
2018-09-26T09:05:30Z, 59, NTP, Adjust, -5
2018-09-26T14:00:07Z, 59, NTP, Adjust, 5
2018-09-26T18:11:41Z, 59, NTP, Adjust, 10
2018-09-26T23:06:49Z, 59, NTP, Adjust, 5
2018-09-27T07:50:52Z, 58, NTP, Adjust, 5
2018-09-27T08:12:58Z, 58, NTP, Adjust, -5
2018-09-27T21:30:07Z, 59, NTP, Adjust, -5
2018-09-27T21:52:14Z, 60, NTP, Adjust, -20
2018-09-28T02:25:11Z, 59, NTP, Adjust, 5
2018-09-28T11:09:24Z, 57, NTP, Adjust, -5
2018-09-28T16:04:25Z, 58, NTP, Adjust, 5
2018-09-28T20:15:34Z, 58, NTP, Adjust, 5
